,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diferencia
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,
Banca,"55,04 €","28,64 €","28,64 €","15,66 €","15,66 €","15,66 €","15,66 €","15,66 €","25,26 €","25,26 €","25,26 €","25,26 €","25,26 €","25,26 €","25,26 €","25,26 €","25,26 €","12,27 €","12,27 €","12,27 €","32,27 €","54,28 €","67,26 €","67,26 €","67,26 €","67,26 €","67,26 €","67,26 €","67,26 €","67,26 €","467,26 €","467,26 €",,"412,22 €"
Efectivo,"736,51 €","776,51 €","776,51 €","756,32 €","756,32 €","738,49 €","758,49 €","750,04 €","750,04 €","731,04 €","731,04 €","761,04 €","761,04 €","747,34 €","747,34 €","777,34 €","761,85 €","761,85 €","761,85 €","761,85 €","761,85 €","741,85 €","841,85 €","841,85 €","841,85 €","991,85 €","991,85 €","991,85 €","973,85 €","973,85 €","973,85 €","973,85 €",,"237,34 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,
Ingresos,Banca,,,,,,,,"9,60 €",,,,,,,,,,,,"20,00 €","150,00 €","12,98 €",,,,,,,,"400,00 €",,"592,58 €",
,Efectivo,"40,00 €",,,,,"20,00 €",,,,,"30,00 €",,,,"30,00 €",,,,,,,"100,00 €",,,,,,,,,,"220,00 €",
,Regalo,,,,,,,,,,,,,,,,,,,,,,,,,"150,00 €",,,,,,,"150,00 €",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,Ahorro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
TOTAL,,"40,00 €","0,00 €","0,00 €","0,00 €","0,00 €","20,00 €","0,00 €","0,00 €","0,00 €","0,00 €","30,00 €","0,00 €","0,00 €","0,00 €","30,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","100,00 €","0,00 €","0,00 €","150,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","370,00 €",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,,,15,,"17,83 €",,"8,45 €",,"5,10 €",,,,"3,70 €",,,,,,,,,,,,,,,,,,,"50,08 €",
,Tren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,Ropa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,Entretenimiento,,,,,,,,,"13,90 €",,,,,,,"5,49 €",,,,,,,,,,,,,,,,"19,39 €",
,Tecnología,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,Bus,,,,,,,,,,,,,"10,00 €",,,,,,,,,,,,,,,,,,,"10,00 €",
,Coche,,,"5,19 €",,,,,,,,,,,,,,,,,,"20,00 €",,,,,,,"18,00 €",,,,"43,19 €",
,Salud,,,,,,,,,,,,,,,,"10,00 €",,,,,,,,,,,,,,,,"10,00 €",
,Banca,"26,40 €",,"12,98 €",,,,,,,,,,,,,,"12,99 €",,,,"127,99 €",,,,,,,,,,,"180,36 €",
,Efectivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
TOTAL,,"0,00 €","0,00 €","20,19 €","0,00 €","17,83 €","0,00 €","8,45 €","0,00 €","19,00 €","0,00 €","0,00 €","0,00 €","13,70 €","0,00 €","0,00 €","15,49 €","0,00 €","0,00 €","0,00 €","0,00 €","20,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","18,00 €","0,00 €","0,00 €","0,00 €","132,66 €",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,