,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diferencia
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,,
Banca,"69,99 €","69,99 €","69,99 €","69,99 €","69,99 €","69,99 €","69,99 €","69,99 €","23,95 €","23,95 €","4,71 €","4,71 €","4,71 €","4,71 €","50,00 €","50,00 €","50,00 €","50,00 €","50,00 €","50,00 €","50,00 €","50,00 €","50,00 €","50,00 €","50,00 €","50,00 €","31,60 €","26,65 €","26,65 €",,"-43,34 €"
Efectivo,"1.535,72 €","1.533,22 €","1.532,02 €","1.529,52 €","1.543,42 €","1.543,42 €","1.543,42 €","1.543,42 €","1.561,83 €","1.525,65 €","1.469,61 €","1.469,61 €","1.469,61 €","1.469,61 €","1.478,41 €","1.477,21 €","1.476,01 €","1.474,81 €","1.464,51 €","1.464,51 €","1.518,41 €","1.508,41 €","1.507,21 €","1.523,97 €","1.721,47 €","1.749,63 €","1.689,63 €","1.684,58 €","1.684,58 €",,"148,86 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,,
Ingresos,Banca,,,,,,,,,,"20,00 €",,,,"45,29 €",,,,,,,,,,,,,,,"65,29 €",
,Efectivo,,,,"20,00 €",,,,"20,00 €",,,,,,"10,00 €",,,,,,"60,00 €",,,"20,00 €",,"60,00 €",,,,"190,00 €",
,Regalo,,,,,,,,,,,,,,,,,,,,,,,,"200,00 €",,,,,"200,00 €",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,Ahorro,,,,,,"130,00 €",,,,,,,,,,,,,,,,,,,,,,,"130,00 €",
TOTAL,,"0,00 €","0,00 €","0,00 €","20,00 €","0,00 €","0,00 €","0,00 €","20,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","10,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","60,00 €","0,00 €","0,00 €","20,00 €","200,00 €","60,00 €","0,00 €","0,00 €","0,00 €","390,00 €",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,"2,50 €","1,20 €","2,50 €",,,,,,,,,,,"1,20 €","1,20 €","1,20 €","1,20 €","1,20 €",,,,"1,20 €","2,50 €","2,50 €",,,,,"18,40 €",
,Tren,,,,"6,10 €",,,,,,,,,,,,,,"6,10 €",,"6,10 €",,,,,"6,10 €",,"5,05 €",,"29,45 €",
,Ropa,,,,,,,,,"36,18 €","56,04 €",,,,,,,,,,,,,,,"15,00 €",,,,"192,50 €",
,Entretenimiento,,,,,,,,,,,,,,,,,,"3,00 €",,,"10,00 €",,,,"10,00 €","60,00 €",,,"83,00 €",
,Tecnología,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,Bus,,,,,,,,,,,,,,,,,,,,,,,"0,74 €",,"0,74 €",,,,"1,48 €",
,Coche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,Salud,,,,,,,,"1,59 €",,,,,,,,,,,,,,,,,,,,,"1,59 €",
,Banca,,,,,,,,"46,04 €",,"39,24 €",,,,,,,,,,,,,,,,"18,40 €","4,95 €",,"108,63 €",
,Efectivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
TOTAL,,"2,50 €","1,20 €","2,50 €","6,10 €","0,00 €","0,00 €","0,00 €","1,59 €","36,18 €","56,04 €","0,00 €","0,00 €","0,00 €","1,20 €","1,20 €","1,20 €","1,20 €","10,30 €","0,00 €","6,10 €","10,00 €","1,20 €","3,24 €","2,50 €","31,84 €","60,00 €","5,05 €","0,00 €","241,14 €",