,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diferencia
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,
Banca,"29,76 €","48,77 €","41,78 €","31,22 €","16,64 €","16,64 €","16,64 €","16,64 €","76,64 €","76,64 €","62,04 €","67,04 €","67,04 €","215,74 €","215,74 €","182,58 €","187,58 €","184,04 €","42,22 €","42,22 €","42,22 €","42,22 €","15,23 €","15,23 €","15,23 €","15,23 €","15,23 €","15,23 €","15,23 €","21,23 €","50,19 €",,"20,43 €"
Efectivo,"1.089,44 €","1.089,44 €","1.090,00 €","1.090,00 €","1.090,00 €","1.090,00 €","1.005,00 €","1.003,75 €","987,81 €","987,11 €","987,11 €","1.022,81 €","1.016,71 €","847,77 €","847,77 €","870,68 €","940,68 €","905,68 €","875,68 €","875,68 €","875,68 €","875,68 €","875,68 €","875,68 €","875,68 €","875,68 €","875,68 €","875,68 €","875,68 €","875,68 €","875,68 €",,"-213,76 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,
Ingresos,Banca,"20,00 €",,,,,"210,00 €",,"100,00 €",,,"15,00 €",,"150,00 €",,,"13,00 €","8,00 €",,,,,,,,,,,,"19,99 €","29,95 €","565,94 €",
,Efectivo,,,,,,"-100,00 €",,,"60,00 €",,"50,00 €",,"-130,00 €",,"65,00 €","100,00 €",,,,,,,,,,,,,,,"45,00 €",
,Regalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,Ahorro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
TOTAL,,"0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","-100,00 €","0,00 €","0,00 €","60,00 €","0,00 €","50,00 €","0,00 €","-130,00 €","0,00 €","65,00 €","100,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","45,00 €",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,,,,,,"3,49 €","1,25 €","1,25 €",,,,,"3,74 €",,,,,,,,,,,,,,,,,,"9,73 €",
,Tren,,,,,,,,,"6,10 €",,,"6,10 €",,,"6,10 €",,,,,,,,,,,,,,,,"18,30 €",
,Ropa,,,,,,,,,,,,,,,"35,99 €",,,,,,,,,,,,,,,,"35,99 €",
,Entretenimiento,,,,,,,,,"54,60 €",,"14,30 €",,"2,25 €",,,"30,00 €","35,00 €","30,00 €",,,,,,,,,,,,,"166,15 €",
,Tecnología,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
,Bus,,,,,,,,"10,00 €",,,,,,,,,,,,,,,,,,,,,,,"10,00 €",
,Coche,,,,,,,,,,,,,"20,00 €",,,,,,,,,,,,,,,,,,"20,00 €",
,Salud,,,,,,,,"4,69 €",,,,,"12,95 €",,,,,,,,,,,,,,,,,,"17,64 €",
,Banca,"0,99 €","6,99 €","10,56 €","14,58 €",,"210,00 €",,"40,00 €",,"14,60 €","10,00 €",,"1,30 €",,"33,16 €","8,00 €","11,54 €","141,82 €",,,,"26,99 €",,,,,,,"13,99 €","0,99 €","545,51 €",
,Efectivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",
TOTAL,,"0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","3,49 €","1,25 €","15,94 €","60,70 €","0,00 €","14,30 €","6,10 €","38,94 €","0,00 €","42,09 €","30,00 €","35,00 €","30,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","277,81 €",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Correción,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"925,87 €",,