,,,,,,,,,,,,,,,,,,,,,,,Correción,,,,,,,,,,,Diferencia,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,
Banca,"26,65 €","26,65 €","26,65 €","26,65 €","11,34 €","11,34 €","11,34 €","11,34 €","41,34 €","62,59 €","62,59 €","62,59 €","62,59 €","62,59 €","62,59 €","62,59 €","62,59 €","42,59 €","42,59 €","33,35 €","24,35 €","24,35 €","24,35 €","24,35 €","24,35 €","24,35 €","24,35 €","24,35 €","24,35 €","24,35 €","64,35 €","64,35 €",,"37,70 €",
Efectivo,"1.664,59 €","1.664,59 €","1.594,59 €","1.592,09 €","1.599,09 €","1.674,89 €","1.668,79 €","1.666,11 €","1.652,32 €","1.649,64 €","1.643,36 €","1.645,68 €","1.685,68 €","1.685,68 €","1.693,18 €","1.691,98 €","1.680,78 €","1.720,78 €","1.720,78 €","1.713,21 €","1.704,21 €","1.703,01 €","1.766,00 €","1.741,75 €","1.741,75 €","1.741,75 €","1.741,75 €","1.741,75 €","1.780,50 €","1.744,25 €","1.723,00 €","1.723,00 €",,"58,41 €",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,
Ingresos,Banca,,,,,,,,"30,00 €","21,25 €",,,,,,,,"-20,00 €",,,,,,,,,,,,,"40,00 €",,"71,25 €",,
,Efectivo,,,,"20,00 €","77,00 €",,,,,,"5,00 €",,,"20,00 €",,,"40,00 €",,"20,00 €",,,,,,,,,"40,00 €",,"-20,00 €",,"202,00 €",,
,Regalo,,,,,,,,,,,,"40,00 €",,,,,,,,,,,,,,,,,,,,"40,00 €",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",,"1.977,84 €"
,Ahorro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",,
TOTAL,,"0,00 €","0,00 €","0,00 €","20,00 €","77,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","5,00 €","40,00 €","0,00 €","20,00 €","0,00 €","0,00 €","40,00 €","0,00 €","20,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","40,00 €","0,00 €","-20,00 €","0,00 €","313,25 €",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,,,"2,5","1,20 €","1,20 €",,"1,20 €","11,57 €","1,20 €","4,80 €","1,20 €",,,"2,50 €","1,20 €","1,20 €",,,"9,24 €","9,00 €","1,20 €","1,20 €","4,75 €",,,,,"1,25 €","1,25 €","1,25 €",,"40,67 €",,
,Tren,,,,"6,10 €",,"6,1",,,,,,,,,,,,,"6,10 €",,,,,,,,,,,,,"18,30 €",,
,Ropa,,,,,,,,,,,,,,,,,,,"12,23 €",,,,,,,,,,,,,"12,23 €",,
,Entretenimiento,,,,"5,70 €",,,,,,,,,,,,,,,,,,,"19,50 €",,,,,,,,,"25,20 €",,
,Tecnología,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",,
,Bus,,,,,,,"1,48 €","2,22 €","1,48 €","1,48 €","1,48 €",,,"10,00 €",,,,,,,,,,,,,,,"10,00 €",,,"28,14 €",,
,Coche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,00 €",,,"25,00 €",,
,Salud,,"70,00 €",,,,,,,,,,,,,,"10,00 €",,,,,,,,,,,,,,,,"80,00 €",,
,Banca,,,,"15,31 €",,,,,,,,,,,,,,,"9,24 €","9,00 €",,,,,,,,,,,,"33,55 €",,
,Efectivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €",,
TOTAL,,"0,00 €","70,00 €","2,50 €","13,00 €","1,20 €","6,10 €","2,68 €","13,79 €","2,68 €","6,28 €","2,68 €","0,00 €","0,00 €","12,50 €","1,20 €","11,20 €","0,00 €","0,00 €","27,57 €","9,00 €","1,20 €","1,20 €","24,25 €","0,00 €","0,00 €","0,00 €","0,00 €","1,25 €","36,25 €","1,25 €","0,00 €","229,54 €",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Correción,,,,,,,,,,,,,,,,,,,,Sobre,,,,,,,,,,,,
,,,1635,,,,,,,,,,,,,,,,,,,,1740,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Cartera,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1766,,,,,,,,,,,,